ID,Category,Language,Collection,Genre,Pubdate,Author_Last,Author_First,Work.Title,Translation,PubHouse_Imprint,Prize_Prizewinner.,WinnerShortlist..PrizeWinner.,Author_Gender,Author_Nationality
"2013_Sex,Nikki_WhatWendyWants_ROM.txt",Fiction ,English,,ROM,2013,Sex,Nikki,WhatWendyWants,,,,,F,US
"2014_Adams,Carina_ForeverRed_ROM.txt",Fiction ,English,,ROM,2014,Adams,Carina,ForeverRed,,,,,F,US
"2014_Adams,Evelyn_FeelsLikeHome_ROM.txt",Fiction ,English,,ROM,2014,Adams,Evelyn,FeelsLikeHome,,,,,F,US
"2014_Armentrout,JenniferL_TheReturn_ROM.txt",Fiction ,English,,ROM,2014,Armentrout,JenniferL,TheReturn,,,,,F,US
"2014_Ashley,Kristen_TheWill_ROM.txt",Fiction ,English,,ROM,2014,Ashley,Kristen,TheWill,,,,,F,US
"2014_Aurora,Belle_RAW_ROM.txt",Fiction ,English,,ROM,2014,Aurora,Belle,RAW,,,,,F,Australia
"2014_Blakely,Lauren_NightAfterNight_ROM.txt",Fiction ,English,,ROM,2014,Blakely,Lauren,NightAfterNight,,,,,F,US
"2014_Brant,Kylie_11_ROM.txt",Fiction ,English,,ROM,2014,Brant,Kylie,11,,,,,F,US
"2014_Brogan,Tracy_TheBestMedicine_ROM.txt",Fiction ,English,,ROM,2014,Brogan,Tracy,TheBestMedicine,,,,,F,US
"2014_Bromberg,K_Crashed_ROM.txt",Fiction ,English,,ROM,2014,Bromberg,K,Crashed,,,,,F,US
"2014_Charles,Ann_TheGreatJackalopeStampede_ROM.txt",Fiction ,English,,ROM,2014,Charles,Ann,TheGreatJackalopeStampede,,,,,F,US
"2014_Chase,Emma_Tamed_ROM.txt",Fiction ,English,,ROM,2014,Chase,Emma,Tamed,,,,,F,US
"2014_Connor,Claudia_WorththeFall_ROM.txt",Fiction ,English,,ROM,2014,Connor,Claudia,WorththeFall,,,,,F,US
"2014_Dare,Tessa_RomancingtheDuke_ROM.txt",Fiction ,English,,ROM,2014,Dare,Tessa,RomancingtheDuke,,,,,F,US
"2014_Elliot,Kendra_Alone_ROM.txt",Fiction ,English,,ROM,2014,Elliot,Kendra,Alone,,,,,F,US
"2014_Elliot,Kendra_Vanished_ROM.txt",Fiction ,English,,ROM,2014,Elliot,Kendra,Vanished,,,,,F,US
"2014_Flynn,Avery_HollywoodonTap_ROM.txt",Fiction ,English,,ROM,2014,Flynn,Avery,HollywoodonTap,,,,,F,US
"2014_Harber,Cristin_SweetGirl_ROM.txt",Fiction ,English,,ROM,2014,Harber,Cristin,SweetGirl,,,,,F,US
"2014_Harlow,Melanie_Forked_ROM.txt",Fiction ,English,,ROM,2014,Harlow,Melanie,Forked,,,,,F,US
"2014_Holden,Kim_BrightSide_ROM.txt",Fiction ,English,,ROM,2014,Holden,Kim,BrightSide,,,,,F,US
"2014_Hoover,Colleen_MaybeSomeday_ROM.txt",Fiction ,English,,ROM,2014,Hoover,Colleen,MaybeSomeday,,,,,F,US
"2014_Hoover,Colleen_UglyLove_ROM.txt",Fiction ,English,,ROM,2014,Hoover,Colleen,UglyLove,,,,,F,US
"2014_Ione,Larissa_Azagoth_ROM.txt",Fiction ,English,,ROM,2014,Ione,Larissa,Azagoth,,,,,F,US
"2014_James,Elle_SEALsEmbrace_ROM.txt",Fiction ,English,,ROM,2014,James,Elle,SEALsEmbrace,,,,,F,US
"2014_Jewel,Bella_TilDeathVolumeOne_ROM.txt",Fiction ,English,,ROM,2014,Jewel,Bella,TilDeathVolumeOne,,,,,F,Australia
"2014_Langston,K_UntilYoureMine_ROM.txt",Fiction ,English,,ROM,2014,Langston,K,UntilYoureMine,,,,,F,US
"2014_Lauren,Christina_SweetFilthyBoy_ROM.txt",Fiction ,English,,ROM,2014,Lauren,Christina,SweetFilthyBoy,,,,,F,US
"2014_Leigh,Melinda_HourofNeed_ROM.txt",Fiction ,English,,ROM,2014,Leigh,Melinda,HourofNeed,,,,,F,US
"2014_LoveWins,Bella_CabinHeat_ROM.txt",Fiction ,English,,ROM,2014,LoveWins,Bella,CabinHeat,,,,,F,US
"2014_Lund,SE_TheAgreement_ROM.txt",Fiction ,English,,ROM,2014,Lund,SE,TheAgreement,,,,,F,US
"2014_Maxlyn,Amanda_WhatsLeftofMe_ROM.txt",Fiction ,English,,ROM,2014,Maxlyn,Amanda,WhatsLeftofMe,,,,,F,US
"2014_McLean,Jay_MoreThanHim_ROM.txt",Fiction ,English,,ROM,2014,McLean,Jay,MoreThanHim,,,,,F,Phillipines
"2014_Mercier,Anne_FallingDown_ROM.txt",Fiction ,English,,ROM,2014,Mercier,Anne,FallingDown,,,,,F,US
"2014_Netzel,AC_TheCasualRule_ROM.txt",Fiction ,English,,ROM,2014,Netzel,AC,TheCasualRule,,,,,F,US
"2014_Noble,Olivia_DeadlyLust_ROM.txt",Fiction ,English,,ROM,2014,Noble,Olivia,DeadlyLust,,,,,F,US
"2014_Noble,Olivia_SecretsExposed_ROM.txt",Fiction ,English,,ROM,2014,Noble,Olivia,SecretsExposed,,,,,F,US
"2014_Noble,Olivia_ThePrivateRoom_ROM.txt",Fiction ,English,,ROM,2014,Noble,Olivia,ThePrivateRoom,,,,,F,US
"2014_Phillips,Carly_DaretoDesire_ROM.txt",Fiction ,English,,ROM,2014,Phillips,Carly,DaretoDesire,,,,,F,US
"2014_Raine,Alice_TheDarknessWithinHim_ROM.txt",Fiction ,English,,ROM,2014,Raine,Alice,TheDarknessWithinHim,,,,,F,UK
"2014_Savage,Shay_Transcendence_ROM.txt",Fiction ,English,,ROM,2014,Savage,Shay,Transcendence,,,,,F,US
"2014_Scott,Kylie_Play_ROM.txt",Fiction ,English,,ROM,2014,Scott,Kylie,Play,,,,,F,Australia
"2014_Sheridan,Mia_ArchersVoice_ROM.txt",Fiction ,English,,ROM,2014,Sheridan,Mia,ArchersVoice,,,,,F,US
"2014_Singh,Nalini_ShieldofWinter_ROM.txt",Fiction ,English,,ROM,2014,Singh,Nalini,ShieldofWinter,,,,,F,Fiji
"2014_StClaire,Roxanne_BarefootinWhite_ROM.txt",Fiction ,English,,ROM,2014,StClaire,Roxanne,BarefootinWhite,,,,,F,US
"2014_Torre,Alessandra_BlackLies_ROM.txt",Fiction ,English,,ROM,2014,Torre,Alessandra,BlackLies,,,,,F,US
"2014_Ward,JR_TheKing_ROM.txt",Fiction ,English,,ROM,2014,Ward,JR,TheKing,,,,,F,US
